dataset;movimiento;json;tiene_audio;audio
Anne-Charlotte__music;6c94a1f2923127e2630b44c93dc94063573fb21e;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\.cache\huggingface\trees\6c94a1f2923127e2630b44c93dc94063573fb21e.json;False;
Anne-Charlotte__music;beyonce-single-ladies;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\beyonce-single-ladies.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\beyonce-single-ladies.ogg
Anne-Charlotte__music;demon-hunters-1;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\demon-hunters-1.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\demon-hunters-1.ogg
Anne-Charlotte__music;eagles-hotel-california;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\eagles-hotel-california.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\eagles-hotel-california.ogg
Anne-Charlotte__music;eminem-lose-yourself;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\eminem-lose-yourself.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\eminem-lose-yourself.ogg
Anne-Charlotte__music;feel-the-magic-in-the-air;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\feel-the-magic-in-the-air.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\feel-the-magic-in-the-air.ogg
Anne-Charlotte__music;katy-perry-fireworks;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\katy-perry-fireworks.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\katy-perry-fireworks.ogg
Anne-Charlotte__music;las-ketchup;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\las-ketchup.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\las-ketchup.ogg
Anne-Charlotte__music;michael-jackson-thriller-official-video-shortene;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\michael-jackson-thriller-official-video-shortene.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\michael-jackson-thriller-official-video-shortene.ogg
Anne-Charlotte__music;michael-jackson-thriller;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\michael-jackson-thriller.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\michael-jackson-thriller.ogg
Anne-Charlotte__music;paint-it-black;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\paint-it-black.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\paint-it-black.ogg
Anne-Charlotte__music;pharrell-williams-happy;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\pharrell-williams-happy.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\pharrell-williams-happy.ogg
Anne-Charlotte__music;queen-we-will-rock-you-official;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\queen-we-will-rock-you-official.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\queen-we-will-rock-you-official.ogg
Anne-Charlotte__music;queen-we-will-rock-you;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\queen-we-will-rock-you.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\queen-we-will-rock-you.ogg
Anne-Charlotte__music;spice-girls;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\spice-girls.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\spice-girls.ogg
Anne-Charlotte__music;the-fratellis-whistle-for-the-choir;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\the-fratellis-whistle-for-the-choir.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\the-fratellis-whistle-for-the-choir.ogg
Anne-Charlotte__music;the-white-stripes-seven-nation-army;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\the-white-stripes-seven-nation-army.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\the-white-stripes-seven-nation-army.ogg
Anne-Charlotte__pollen-dance;5e877d7d0a996f850f1c6107ffb5245e254dbd9a;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__pollen-dance\.cache\huggingface\trees\5e877d7d0a996f850f1c6107ffb5245e254dbd9a.json;False;
Anne-Charlotte__pollen-dance;720p-in-the-dark;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__pollen-dance\data\720p-in-the-dark.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__pollen-dance\data\720p-in-the-dark.ogg
Anne-Charlotte__pollen-dance;ghosts-in-my-code;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__pollen-dance\data\ghosts-in-my-code.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__pollen-dance\data\ghosts-in-my-code.ogg
Anne-Charlotte__pollen-dance;little-giant;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__pollen-dance\data\little-giant.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__pollen-dance\data\little-giant.ogg
Anne-Charlotte__pollen-dance;little-robot-level-up;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__pollen-dance\data\little-robot-level-up.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__pollen-dance\data\little-robot-level-up.ogg
Anne-Charlotte__pollen-dance;reachy-halloween;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__pollen-dance\data\reachy-halloween.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__pollen-dance\data\reachy-halloween.ogg
Anne-Charlotte__pollen-dance;reachy-many-me;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__pollen-dance\data\reachy-many-me.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__pollen-dance\data\reachy-many-me.ogg
Anne-Charlotte__pollen-dance;reachy-s-grove;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__pollen-dance\data\reachy-s-grove.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__pollen-dance\data\reachy-s-grove.ogg
Anne-Charlotte__pollen-dance;yo-it-s-your-boy-reachy-mini;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__pollen-dance\data\yo-it-s-your-boy-reachy-mini.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__pollen-dance\data\yo-it-s-your-boy-reachy-mini.ogg
Anne-Charlotte__reachy-songs;1d13e0499b9177d035d25e83ea4420921c58bfb3;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\.cache\huggingface\trees\1d13e0499b9177d035d25e83ea4420921c58bfb3.json;False;
Anne-Charlotte__reachy-songs;beethoven;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\data\beethoven.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\data\beethoven.ogg
Anne-Charlotte__reachy-songs;bohemian-rhapsody;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\data\bohemian-rhapsody.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\data\bohemian-rhapsody.ogg
Anne-Charlotte__reachy-songs;happy-birthday;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\data\happy-birthday.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\data\happy-birthday.ogg
Anne-Charlotte__reachy-songs;harry-potter;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\data\harry-potter.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\data\harry-potter.ogg
Anne-Charlotte__reachy-songs;pirate-of-caribbean;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\data\pirate-of-caribbean.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\data\pirate-of-caribbean.ogg
Anne-Charlotte__reachy-songs;star-wars;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\data\star-wars.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\data\star-wars.ogg
Anne-Charlotte__reachy-songs;the-lion-king;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\data\the-lion-king.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\data\the-lion-king.ogg
Anne-Charlotte__reachy-songs;titanic;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\data\titanic.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\data\titanic.ogg
Anne-Charlotte__reachy-songs;we-wish-you-a-merry-christmas;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\data\we-wish-you-a-merry-christmas.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\data\we-wish-you-a-merry-christmas.ogg
Anne-Charlotte__reachy-songs;yesterday;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\data\yesterday.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__reachy-songs\data\yesterday.ogg
apirrone__marionette-moves;d97420b711853ab698c13b612eb3ee01ad0b317f;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\apirrone__marionette-moves\.cache\huggingface\trees\d97420b711853ab698c13b612eb3ee01ad0b317f.json;False;
apirrone__marionette-moves;secret-dance;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\apirrone__marionette-moves\data\secret-dance.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\apirrone__marionette-moves\data\secret-dance.wav
pollen-robotics__reachy-mini-dances-library;3564295e72d41c1271f46bf5540a3fcad9d5f669;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\pollen-robotics__reachy-mini-dances-library\.cache\huggingface\trees\3564295e72d41c1271f46bf5540a3fcad9d5f669.json;False;
pollen-robotics__reachy-mini-dances-library;chicken_peck;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\pollen-robotics__reachy-mini-dances-library\chicken_peck.json;False;
pollen-robotics__reachy-mini-dances-library;chin_lead;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\pollen-robotics__reachy-mini-dances-library\chin_lead.json;False;
pollen-robotics__reachy-mini-dances-library;dizzy_spin;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\pollen-robotics__reachy-mini-dances-library\dizzy_spin.json;False;
pollen-robotics__reachy-mini-dances-library;grid_snap;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\pollen-robotics__reachy-mini-dances-library\grid_snap.json;False;
pollen-robotics__reachy-mini-dances-library;groovy_sway_and_roll;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\pollen-robotics__reachy-mini-dances-library\groovy_sway_and_roll.json;False;
pollen-robotics__reachy-mini-dances-library;head_tilt_roll;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\pollen-robotics__reachy-mini-dances-library\head_tilt_roll.json;False;
